Paste on https://graphonline.top/create_graph_by_matrix
0, 5, -1, 6, 4, -1, -1, -1, -1, -1, -1, 9
5, 0, 2, -1, -1, -1, -1, 8, -1, -1, -1, -1
-1, 2, 0, -1, -1, 7, -1, -1, -1, -1, -1, -1
6, -1, -1, 0, -1, -1, 7, -1, -1, -1, -1, -1
4, -1, -1, -1, 0, -1, 6, -1, -1, -1, -1, -1
-1, -1, 7, -1, -1, 0, -1, -1, -1, -1, -1, -1
-1, -1, -1, 7, 6, -1, 0, -1, -1, 11, -1, -1
-1, 8, -1, -1, -1, -1, -1, 0, 7, -1, -1, -1
-1, -1, -1, -1, -1, -1, -1, 7, 0, 5, -1, -1
-1, -1, -1, -1, -1, -1, 11, -1, 5, 0, 7, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, 7, 0, -1
9, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0
